Name	Author Type	Article Type	pmid	Journal	Year	Article title	Author affiliation
Bryon S Donohoe	9	Journal Article	24670657	Nature	2014	Disruption of Mediator rescues the stunted growth of a lignin-deficient Arabidopsis mutant.	Biosciences Center; National Renewable Energy Laboratory; Golden; Colorado 80401; USA.
Michael Ladisch	10	Journal Article	24670657	Nature	2014	Disruption of Mediator rescues the stunted growth of a lignin-deficient Arabidopsis mutant.	1] Department of Agricultural and Biological Engineering and the Laboratory of Renewable Resources Engineering; Purdue University; West Lafayette; Indiana 47907; USA [2] Weldon School of Biomedical Engineering; Purdue University; West Lafayette; Indiana 47907; USA.
Clint Chapple	Corresponding	Journal Article	24670657	Nature	2014	Disruption of Mediator rescues the stunted growth of a lignin-deficient Arabidopsis mutant.	Department of Biochemistry; Purdue University; West Lafayette; Indiana 47907; USA.
Jing-Ke Weng	First	Journal Article	22923580	Science	2012	Assembly of an evolutionarily new pathway for Î±-pyrone biosynthesis in Arabidopsis.	Department of Biochemistry; Purdue University; West Lafayette; IN 47907; USA.
Yi Li	2	Journal Article	22923580	Science	2012	Assembly of an evolutionarily new pathway for Î±-pyrone biosynthesis in Arabidopsis.	Department of Biochemistry; Purdue University; West Lafayette; IN 47907; USA.
Huaping Mo	3	Journal Article	22923580	Science	2012	Assembly of an evolutionarily new pathway for Î±-pyrone biosynthesis in Arabidopsis.	Department of Biochemistry; Purdue University; West Lafayette; IN 47907; USA.
Clint Chapple	Corresponding	Journal Article	22923580	Science	2012	Assembly of an evolutionarily new pathway for Î±-pyrone biosynthesis in Arabidopsis.	Department of Biochemistry; Purdue University; West Lafayette; IN 47907; USA.
Susan J Lolle	First	Journal Article	15785770	Nature	2005	Genome-wide non-mendelian inheritance of extra-genomic information in Arabidopsis.	Department of Botany and Plant Pathology; Purdue University; 915 W. State Street; West Lafayette; Indiana 47907-2054; USA.
Jennifer L Victor	2	Journal Article	15785770	Nature	2005	Genome-wide non-mendelian inheritance of extra-genomic information in Arabidopsis.	Department of Botany and Plant Pathology; Purdue University; 915 W. State Street; West Lafayette; Indiana 47907-2054; USA.
Jessica M Young	3	Journal Article	15785770	Nature	2005	Genome-wide non-mendelian inheritance of extra-genomic information in Arabidopsis.	Department of Botany and Plant Pathology; Purdue University; 915 W. State Street; West Lafayette; Indiana 47907-2054; USA.
Robert E Pruitt	Corresponding	Journal Article	15785770	Nature	2005	Genome-wide non-mendelian inheritance of extra-genomic information in Arabidopsis.	Department of Botany and Plant Pathology; Purdue University; 915 W. State Street; West Lafayette; Indiana 47907-2054; USA.
Burkhard Schulz	First	Journal Article	15499001	Science	2004	Plant biology. A plant ABC transporter takes the lotus seat.	Department of Horticulture and Landscape Architecture; Purdue University; West Lafayette; IN 47907; USA.
Wolf B Frommer	Corresponding	Journal Article	15499001	Science	2004	Plant biology. A plant ABC transporter takes the lotus seat.	Department of Horticulture and Landscape Architecture; Purdue University; West Lafayette; IN 47907; USA.
Jeffrey Bennetzen	Corresponding	Journal Article	11935009	Science	2002	The rice genome. Opening the door to comparative plant biology.	Department of Biological Sciences; Purdue University; West Lafayette; IN 47907; USA. maize@bilbo.bio.purdue.edu
